ctlabel,borocode,boroname,ct2020,boroct2020,cdeligibil,ntaname,nta2020,cdta2020,cdtaname,geoid,shape_leng,shape_area
"1208.02","3",Brooklyn,"120802","3120802",,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047120802",4830.9448218600000473088584840297699,1268359.4565799999982118606567382812500
"1208.01","3",Brooklyn,"120801","3120801",,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047120801",6081.6299075099996116477996110916138,2167971.9337499998509883880615234375000
"1202","3",Brooklyn,"120200","3120200",,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047120200",6114.4555455899999287794344127178192,1641233.5387500000651925802230834960938
"1237","3",Brooklyn,"123700","3123700",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047123700",7492.8444857300000876421108841896057,3459462.4776499997824430465698242187500
"1220","3",Brooklyn,"122000","3122000",,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047122000",20115.5556801999991876073181629180908,11487294.4849999994039535522460937500000
"1214","3",Brooklyn,"121400","3121400",,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047121400",5508.1799389799998607486486434936523,1864053.8953100000508129596710205078125
"1210","3",Brooklyn,"121000","3121000",,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047121000",5615.9158942800004297168925404548645,1716806.5571900000795722007751464843750
"1026","3",Brooklyn,"102600","3102600",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047102600",5343.1405025300000488641671836376190,1462012.2758800000883638858795166015625
"1024","3",Brooklyn,"102400","3102400",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047102400",5452.8250580699996135081164538860321,1540219.3083599999081343412399291992188
"1022","3",Brooklyn,"102200","3102200",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047102200",5377.8168944500002908171154558658600,1752586.4930000000167638063430786132812
"1020","3",Brooklyn,"102000","3102000",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047102000",5294.2231763999998293002136051654816,1690995.0091200000606477260589599609375
"1034.02","3",Brooklyn,"103402","3103402",,Canarsie Park & Pier,BK1893,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047103402",11965.9512522000004537403583526611328,4320501.5235500000417232513427734375000
"1034.01","3",Brooklyn,"103401","3103401",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047103401",5475.3787240999999994528479874134064,1895802.6485599998850375413894653320312
"1028.02","3",Brooklyn,"102802","3102802",,Canarsie Park & Pier,BK1893,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047102802",14998.6493747999993502162396907806396,7231547.6653599999845027923583984375000
"1028.01","3",Brooklyn,"102801","3102801",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047102801",5967.3610249100001965416595339775085,1660819.6483100000768899917602539062500
"1078","3",Brooklyn,"107800","3107800",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047107800",13423.7719001000004936940968036651611,5449475.7904599998146295547485351562500
"1070.03","3",Brooklyn,"107003","3107003",,Spring Creek-Starrett City,BK0504,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047107003",9311.6963976900005945935845375061035,2363049.4950000001117587089538574218750
"1070.01","3",Brooklyn,"107001","3107001",,Spring Creek-Starrett City,BK0504,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047107001",15194.3143132000004698056727647781372,13115505.9900000002235174179077148437500
"1058.01","3",Brooklyn,"105801","3105801",,Spring Creek-Starrett City,BK0504,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047105801",10574.7402645000001939479261636734009,4481506.7332499995827674865722656250000
"1110","3",Brooklyn,"111000","3111000",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047111000",4682.9486360600003536092117428779602,1348388.7726000000257045030593872070312
"1106","3",Brooklyn,"110600","3110600",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047110600",5477.1307762899996305350214242935181,1841331.8764100000262260437011718750000
"1104","3",Brooklyn,"110400","3110400",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047110400",14964.7264219000007869908586144447327,7985790.2549200002104043960571289062500
"1098","3",Brooklyn,"109800","3109800",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047109800",13567.6852928000007523223757743835449,9191378.3958100005984306335449218750000
"1122","3",Brooklyn,"112200","3112200",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047112200",5931.0168448499998703482560813426971,1747124.1807500000577419996261596679688
"1120","3",Brooklyn,"112000","3112000",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047112000",5493.0458553400003438582643866539001,1861982.3530500000342726707458496093750
"1118","3",Brooklyn,"111800","3111800",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047111800",5292.3400701000000481144525110721588,1745783.7115099998190999031066894531250
"1116","3",Brooklyn,"111600","3111600",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047111600",9498.2844670400008908472955226898193,5375937.0299800001084804534912109375000
"1130","3",Brooklyn,"113000","3113000",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047113000",7587.9018689200001972494646906852722,2086280.6983900000341236591339111328125
"1128","3",Brooklyn,"112800","3112800",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047112800",5742.4924269499997535604052245616913,1982798.0313399999868124723434448242188
"1126","3",Brooklyn,"112600","3112600",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047112600",5460.4210421699999642441980540752411,1813472.0336800001095980405807495117188
"1124","3",Brooklyn,"112400","3112400",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047112400",5874.9186481500000809319317340850830,1914338.8216200000606477260589599609375
"1142.02","3",Brooklyn,"114202","3114202",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047114202",5260.6977668199997424380853772163391,1286732.3872899999842047691345214843750
"1142.01","3",Brooklyn,"114201","3114201",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047114201",10599.3175052000005962327122688293457,3226990.5860500000417232513427734375000
"1134","3",Brooklyn,"113400","3113400",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047113400",5266.4848924099997020675800740718842,1651198.1307000000961124897003173828125
"1132","3",Brooklyn,"113200","3113200",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047113200",7996.1349372799995762761682271957397,2109760.0288999998010694980621337890625
"1156","3",Brooklyn,"115600","3115600",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047115600",5354.6782098300000143353827297687531,1720940.1571100000292062759399414062500
"1152","3",Brooklyn,"115200","3115200",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047115200",5358.5597456100003910250961780548096,1788251.7814400000497698783874511718750
"1150","3",Brooklyn,"115000","3115000",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047115000",5234.7450112899996383930556476116180,1703334.4013300000224262475967407226562
"1146","3",Brooklyn,"114600","3114600",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047114600",5921.1023164400003224727697670459747,1723239.7691099999938160181045532226562
"508.03","3",Brooklyn,"050803","3050803",,Flatbush,BK1401,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047050803",3257.5344903899999735585879534482956,602995.5899790000403299927711486816406
"798.02","3",Brooklyn,"079802","3079802",,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047079802",5259.3793312699999660253524780273438,1145198.8311900000553578138351440429688
"1522","3",Brooklyn,"152200","3152200",,Flatbush (West)-Ditmas Park-Parkville,BK1402,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047152200",9339.7691697800000838469713926315308,4196763.2824600003659725189208984375000
"512","3",Brooklyn,"051200","3051200",,Flatbush,BK1401,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047051200",5528.8089375999998082988895475864410,1506254.0769400000572204589843750000000
"702.02","3",Brooklyn,"070202","3070202",,Barren Island-Floyd Bennett Field,BK5691,BK56,BK56 Jamaica Bay (West) (JIA 56 Approximation),"36047070202",44394.2971860000034212134778499603271,54666303.4386999979615211486816406250000
"77","3",Brooklyn,"007700","3007700",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047007700",10067.5498158999998850049450993537903,4166505.1974399997852742671966552734375
"75","3",Brooklyn,"007500","3007500",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047007500",7513.4776421099995786789804697036743,3052490.5678599998354911804199218750000
"706.02","3",Brooklyn,"070602","3070602",,McGuire Fields,BK1892,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047070602",24718.6595564000017475336790084838867,10589612.2923000007867813110351562500000
"1058.04","3",Brooklyn,"105804","3105804",,Spring Creek-Starrett City,BK0504,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047105804",15797.4853567999998631421476602554321,7126198.4743100004270672798156738281250
"1070.02","3",Brooklyn,"107002","3107002",,Shirley Chisholm State Park,BK5693,BK56,BK56 Jamaica Bay (West) (JIA 56 Approximation),"36047107002",26521.9177358999986608978360891342163,18284900.8484000004827976226806640625000
"110","3",Brooklyn,"011000","3011000",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047011000",5365.0277308799995807930827140808105,1699056.6330999999772757291793823242188
"108.02","3",Brooklyn,"010802","3010802",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047010802",3642.8693666200001644028816372156143,812274.0352130000246688723564147949219
"108.01","3",Brooklyn,"010801","3010801",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047010801",3643.7704183400001056725159287452698,812575.7081140000373125076293945312500
"106.02","3",Brooklyn,"010602","3010602",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047010602",3643.3269366300000910996459424495697,812851.2440890000434592366218566894531
"118","3",Brooklyn,"011800","3011800",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047011800",7951.2854770499998267041519284248352,2357119.5895299999974668025970458984375
"116","3",Brooklyn,"011600","3011600",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047011600",5869.3168604399998002918437123298645,1724997.6265700000803917646408081054688
"114","3",Brooklyn,"011400","3011400",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047011400",5462.2814816500003871624357998371124,1806159.2142399998847395181655883789062
"112","3",Brooklyn,"011200","3011200",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047011200",5459.4719394800004010903649032115936,1843970.9690400001127272844314575195312
"121","3",Brooklyn,"012100","3012100",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047012100",5142.2554336200000761891715228557587,1593259.2944600000046193599700927734375
"120","3",Brooklyn,"012000","3012000",,Dyker Heights,BK1002,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047012000",7597.2053867699996771989390254020691,2077497.5857800000812858343124389648438
"119.02","3",Brooklyn,"011902","3011902",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047011902",7752.9504188999999314546585083007812,2648288.6090600001625716686248779296875
"119.01","3",Brooklyn,"011901","3011901",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047011901",9823.3973786400001699803397059440613,5040710.7759100003167986869812011718750
"128.01","3",Brooklyn,"012801","3012801",,Dyker Heights,BK1002,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047012801",4828.9839214399999036686494946479797,1238338.6287199999205768108367919921875
"127","3",Brooklyn,"012700","3012700",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047012700",5308.2920265200000358163379132747650,1759480.8617499999236315488815307617188
"126","3",Brooklyn,"012600","3012600",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047012600",7452.7493534799996268702670931816101,2553793.8682400002144277095794677734375
"122","3",Brooklyn,"012200","3012200",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047012200",5623.9477945899998303502798080444336,1951564.9802800000179558992385864257812
"131","3",Brooklyn,"013100","3013100",,Park Slope,BK0602,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047013100",5288.6330661900010454701259732246399,1684555.9765300001017749309539794921875
"130","3",Brooklyn,"013000","3013000",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047013000",5648.2365066399997886037454009056091,1899181.5084400000050663948059082031250
"129.02","3",Brooklyn,"012902","3012902",,Park Slope,BK0602,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047012902",5892.0816888199997265473939478397369,1461597.0242999999318271875381469726562
"129.01","3",Brooklyn,"012901","3012901",,Park Slope,BK0602,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047012901",5214.0946009500003128778189420700073,1390943.0524399999994784593582153320312
"135","3",Brooklyn,"013500","3013500",,Park Slope,BK0602,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047013500",5224.7101759600000150385312736034393,1635300.9597899999935179948806762695312
"134","3",Brooklyn,"013400","3013400",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047013400",8713.6515544400008366210386157035828,2887190.0648799999617040157318115234375
"133","3",Brooklyn,"013300","3013300",,Park Slope,BK0602,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047013300",5175.7035111100003632600419223308563,1596011.1256599999032914638519287109375
"132","3",Brooklyn,"013200","3013200",,Dyker Heights,BK1002,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047013200",6427.9297457000002395943738520145416,1676563.6922200000844895839691162109375
"139","3",Brooklyn,"013900","3013900",,Park Slope,BK0602,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047013900",5219.6808436499995877966284751892090,1631336.7154500000178813934326171875000
"138","3",Brooklyn,"013800","3013800",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047013800",6620.9286342200002764002420008182526,1749765.0394500000402331352233886718750
"137","3",Brooklyn,"013700","3013700",,Park Slope,BK0602,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047013700",5226.6316206299998157192021608352661,1638365.9558600001037120819091796875000
"136","3",Brooklyn,"013600","3013600",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047013600",8226.9803458900005352916195988655090,2312743.1030799997970461845397949218750
"147","3",Brooklyn,"014700","3014700",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047014700",4574.2339791499998682411387562751770,1142138.2139399999286979436874389648438
"142","3",Brooklyn,"014200","3014200",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047014200",7716.1724105100001906976103782653809,2160045.4153399998322129249572753906250
"141.01","3",Brooklyn,"014101","3014101",,Park Slope,BK0602,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047014101",4184.6322357099998043850064277648926,816606.7405280000530183315277099609375
"140","3",Brooklyn,"014000","3014000",,Dyker Heights,BK1002,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047014000",5645.9703548799998316098935902118683,1578343.0748300000559538602828979492188
"67","3",Brooklyn,"006700","3006700",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047006700",5236.0478033800000048358924686908722,1680804.2504700000863522291183471679688
"66","3",Brooklyn,"006600","3006600",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047006600",5243.9252208199995948234573006629944,1653273.1832900000736117362976074218750
"65","3",Brooklyn,"006500","3006500",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047006500",7829.4234168299999510054476559162140,2678036.3547200001776218414306640625000
"64","3",Brooklyn,"006400","3006400",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047006400",5927.5788101300004200311377644538879,2186814.8560600001364946365356445312500
"70","3",Brooklyn,"007000","3007000",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047007000",7238.1621356699997704708948731422424,1588000.4810899998992681503295898437500
"69.02","3",Brooklyn,"006902","3006902",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047006902",4451.3260623699998177471570670604706,1126489.7065999999176710844039916992188
"69.01","3",Brooklyn,"006901","3006901",,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),"36047006901",4103.7315368099998522666282951831818,801476.2767699999967589974403381347656
"68","3",Brooklyn,"006800","3006800",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047006800",5840.8031936500001393142156302928925,1996655.7624399999622255563735961914062
"76","3",Brooklyn,"007600","3007600",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047007600",4980.0475135300002875737845897674561,1510401.7098399999085813760757446289062
"74","3",Brooklyn,"007400","3007400",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047007400",5037.1950606800000969087705016136169,1545780.6325699998997151851654052734375
"72","3",Brooklyn,"007200","3007200",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047007200",3516.8674855600002047140151262283325,664162.7905490000266581773757934570312
"71","3",Brooklyn,"007100","3007100",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047007100",5814.3532197699996686424128711223602,1840524.2620600000955164432525634765625
"84","3",Brooklyn,"008400","3008400",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047008400",6552.0557798800000455230474472045898,2650333.4112100000493228435516357421875
"82","3",Brooklyn,"008200","3008200",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047008200",4989.6870033100003638537600636482239,1517026.1514900000765919685363769531250
"80","3",Brooklyn,"008000","3008000",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047008000",4989.7230996400003277813084423542023,1506326.4036799999885261058807373046875
"78","3",Brooklyn,"007800","3007800",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047007800",4986.6715953700004320126026868820190,1509791.9972800000105053186416625976562
"90.01","3",Brooklyn,"009001","3009001",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047009001",3678.3673074299999825598206371068954,825062.3650700000580400228500366210938
"88","3",Brooklyn,"008800","3008800",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047008800",5710.9789876400000139256007969379425,2019986.0182199999690055847167968750000
"86","3",Brooklyn,"008600","3008600",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047008600",4685.2452535900001748814247548580170,1221917.0241799999494105577468872070312
