"crash_date","latitude","longitude","collision_id"
2015-12-24,40.5815185,-73.9673331,3361306
2015-12-28,40.6088079,-73.953191,3367115
2015-12-30,40.6929769,-73.9081028,3363133
2015-12-29,40.7015297,-73.9231339,3362026
2015-12-24,40.6640974,-73.9093069,3361991
2015-12-27,40.696785,-73.9565804,3361454
2015-12-30,40.6763291,-73.8654621,3362564
2015-12-31,40.6185371,-74.0236331,3363066
2015-12-28,40.5902941,-73.9528583,3361321
2015-12-26,40.6398482,-73.9105469,3360304
2015-12-27,40.6875573,-73.9389506,3361464
2015-12-28,40.6949484,-73.9920989,3361484
2015-12-28,40.6604526,-73.867181,3361994
2015-12-27,40.6668795,-73.9012647,3360811
2015-12-29,40.699405,-73.953369,3362586
2015-12-26,40.6625746,-73.9344679,3360306
2015-12-29,40.6543385,-73.9470322,3362499
2015-12-25,40.7068292,-73.9683898,3360066
2015-12-24,40.6095803,-74.00649,3360007
2015-12-25,40.6781165,-73.9078565,3360320
2015-12-31,40.608595,-74.0048548,3363768
2015-12-31,40.6281676,-73.9278657,3363043
2015-12-30,40.6259754,-73.9762346,3362484
2015-12-28,40.6975836,-73.9496485,3362013
2015-12-25,40.5998348,-73.9682028,3359997
2015-12-28,40.680015,-73.8774282,3362549
2015-12-24,40.6818517,-73.9800365,3360352
2015-12-30,40.6466864,-73.9541265,3362502
2015-12-29,40.6937253,-73.9257141,3362596
2015-12-31,40.6195473,-73.9172632,3363480
2015-12-29,40.6891376,-73.9907077,3362033
2015-12-30,40.6479962,-73.9329218,3363054
2015-12-31,40.7036649,-73.9470508,3363866
2015-12-27,40.6298422,-73.9632204,3360784
2015-12-29,40.6914582,-73.9177906,3362597
2015-12-30,40.6858751,-73.8774823,3362563
2015-12-29,40.674396,-73.8965093,3361996
2015-12-31,40.6807335,-73.9745025,3363123
2015-12-26,40.6078422,-73.9619648,3360740
2015-12-30,40.7083558,-73.9609841,3363147
2015-12-28,40.6433056,-73.9740952,3361352
2015-12-30,40.6183407,-74.0301743,3362511
2015-12-31,40.6485461,-73.89709,3363074
2015-12-25,40.6438359,-73.9392284,3360289
2015-12-25,40.6263179,-73.9732192,3360011
2015-12-28,40.6252684,-74.0172628,3361945
2015-12-31,40.6876982,-73.9109407,3363847
2015-12-29,40.6750759,-73.9880022,3362008
2015-12-28,40.6736649,-73.9859728,3362006
2015-12-29,40.6165487,-73.9276333,3363034
2015-12-29,40.6332268,-73.9951794,3361926
2015-12-30,40.6107138,-73.9557396,3362524
2015-12-26,40.6842287,-73.9353011,3360347
2015-12-28,40.6613849,-73.884098,3362550
2015-12-28,40.6037285,-73.9967985,3361908
2015-12-31,40.6632839,-73.9609564,3363088
2015-12-25,40.608169,-73.9873408,3360277
2015-12-31,40.698677,-73.9588584,3363128
2015-12-31,40.6835439,-73.992623,3363113
2015-12-29,40.6423846,-73.9804195,3361927
2015-12-24,40.6761899,-73.9080899,3359562
2015-12-31,40.690993,-73.9893083,3363136
2015-12-26,40.6371982,-73.8844427,3360774
2015-12-31,40.6640557,-73.9426955,3363091
2015-12-26,40.6737013,-74.0044306,3361434
2015-12-28,40.6929769,-73.9081028,3361479
2015-12-27,40.6692636,-73.9135535,3361986
2015-12-29,40.6271557,-73.9656248,3361968
2015-12-28,40.6317986,-73.9015904,3361379
2015-12-25,40.6911938,-73.9977679,3361430
2015-12-27,40.6630196,-73.9400291,3361398
2015-12-28,40.6434259,-74.0120642,3361980
2015-12-31,40.6387754,-73.9600916,3363079
2015-12-27,40.6816856,-73.8715626,3361418
2015-12-29,40.6718642,-73.9708541,3362581
2015-12-31,40.6781564,-73.9441507,3363120
2015-12-28,40.6410046,-73.9475437,3361364
2015-12-27,40.6558432,-73.9195789,3360761
2015-12-23,40.6667461,-73.9129115,3358871
2015-12-28,40.6322129,-73.8921577,3361377
2015-12-28,40.688745,-73.9087433,3361478
2015-12-24,40.7047879,-73.9618698,3359644
2015-12-24,40.6139257,-73.9502663,3360038
2015-12-30,40.6498215,-74.0090886,3362536
2015-12-30,40.6890192,-73.9861571,3362602
2015-12-24,40.60058,-73.9915987,3360000
2015-12-24,40.6246578,-73.9169723,3359495
2015-12-24,40.6543635,-74.0150466,3360312
2015-12-27,40.6847054,-73.9441849,3361455
2015-12-27,40.5985519,-73.9973389,3361324
2015-12-31,40.7281344,-73.9532731,3363152
2015-12-27,40.6778626,-73.9386241,3361443
2015-12-28,40.6099861,-73.9623778,3361396
2015-12-28,40.7047676,-73.9588835,3361496
2015-12-30,40.6334868,-73.9865469,3368132
2015-12-31,40.6764204,-73.9415348,3363119
2015-12-29,40.642134,-73.9293532,3362497
2015-12-28,40.6810601,-73.996528,3362001
2015-12-24,40.6681286,-73.9367478,3360046
2015-12-30,40.6602041,-73.960623,3363086
2015-12-28,40.6061132,-73.9548711,3361898
2015-12-29,40.6484657,-74.0068217,3362530
2015-12-30,40.6392595,-73.9377625,3363057
2015-12-30,40.6053581,-73.9617322,3363019
2015-12-31,40.6844232,-73.978388,3363142
2015-12-29,40.6279882,-73.9307732,3363040
2015-12-29,40.7016172,-73.9148496,3362029
2015-12-24,40.63406,-73.946807,3360043
2015-12-29,40.7016614,-73.9614533,3362040
2015-12-29,40.7242651,-73.9376542,3362049
2015-12-29,40.6611218,-73.9201276,3363051
2015-12-24,40.6741348,-73.8715988,3359587
2015-12-30,40.6631828,-73.9624487,3362579
2015-12-30,40.6466434,-73.9245917,3363055
2015-12-28,40.5901817,-73.9605707,3361894
2015-12-28,40.7094216,-73.9330331,3361497
2015-12-28,40.5997043,-73.9901512,3361912
2015-12-24,40.6298536,-73.9386719,3360008
2015-12-26,40.582503,-73.9745544,3360729
2015-12-24,40.7082774,-73.929027,3359640
2015-12-25,40.6566109,-73.9309021,3360287
2015-12-27,40.6686479,-73.9283482,3361441
2015-12-26,40.6168619,-73.9053765,3360744
2015-12-30,40.5932799,-73.945374,3363018
2015-12-24,40.6354937,-74.0095587,3360010
2015-12-31,40.6756582,-73.8792748,3365419
2015-12-27,40.6250156,-73.9407189,3360750
2015-12-24,40.6774132,-73.9303181,3359620
2015-12-24,40.6979035,-73.9467957,3360062
2015-12-28,40.6560813,-73.9530533,3361973
2015-12-28,40.6357263,-73.984219,3362493
2015-12-28,40.6763934,-73.9718868,3362007
2015-12-24,40.6721129,-73.8855178,3360326
2015-12-24,40.575575,-73.994316,3359457
2015-12-31,40.6270435,-73.9666227,3363049
2015-12-28,40.6667703,-73.9883065,3362004
2015-12-27,40.6803904,-73.949557,3361452
2015-12-27,40.6777156,-73.935859,3360819
2015-12-27,40.6271444,-74.0003134,3360770
2015-12-25,40.6428659,-74.0126478,3360313
2015-12-24,40.653777,-73.9561651,3360042
2015-12-27,40.6591239,-73.9129143,3361414
2015-12-30,40.6283094,-73.981,3362486
2015-12-25,40.6781158,-73.9217116,3361466
2015-12-30,40.5755654,-73.9812022,3362462
2015-12-27,40.6651898,-73.8693848,3360817
2015-12-25,40.6147717,-73.9672844,3360017
2015-12-26,40.6238494,-73.931307,3360284
2015-12-30,40.6689504,-73.9338885,3363087
2015-12-31,40.6354759,-73.8915579,3363067
2015-12-24,40.6380327,-73.9925704,3360014
2015-12-24,40.6953519,-73.9163145,3360837
2015-12-29,40.6688308,-73.9076387,3362537
2015-12-28,40.6581196,-73.9339965,3361972
2015-12-26,40.6637988,-73.8826701,3360807
2015-12-31,40.6456658,-74.0097367,3363095
2015-12-26,40.6808988,-73.9511718,3360830
2015-12-28,40.6815715,-73.9257853,3362019
2015-12-23,40.6146211,-73.9686568,3358789
2015-12-31,40.6732927,-73.9570211,3363121
2015-12-27,40.651871,-73.904552,3360773
2015-12-29,40.6225165,-74.0064336,3361949
2015-12-31,40.6349472,-73.932499,3363497
2015-12-29,40.6489098,-73.8925523,3361958
2015-12-24,40.725974,-73.9407373,3360360
2015-12-24,40.5913811,-73.9822779,3361308
2015-12-31,40.5993815,-73.9514043,3363029
2015-12-23,40.6396243,-73.9547692,3358828
2015-12-31,40.6472557,-73.89071,3363071
2015-12-27,40.6588768,-74.0029374,3360795
2015-12-24,40.6564847,-73.9600738,3360044
2015-12-27,40.6772073,-73.897226,3360810
2015-12-28,40.6902385,-73.9943603,3361435
2015-12-30,40.6324912,-73.9495932,3363080
2015-12-24,40.7221824,-73.9387276,3360363
2015-12-30,40.6106328,-73.9801803,3363766
2015-12-24,40.6024219,-73.9945838,3360004
2015-12-31,40.6221769,-74.022687,3363064
2015-12-23,40.6734869,-73.9729552,3358903
2015-12-24,40.6203042,-74.0074276,3359526
2015-12-26,40.6215393,-73.9242311,3360285
2015-12-26,40.6214926,-74.0262133,3360299
2015-12-27,40.6698646,-73.9505022,3361442
2015-12-24,40.654313,-73.9175769,3359516
2015-12-28,40.6847992,-73.9137966,3362023
2015-12-27,40.6594959,-73.9605586,3360788
2015-12-24,40.6753855,-73.9533642,3360338
2015-12-31,40.6219225,-73.9361288,3363481
2015-12-30,40.6050714,-73.9298678,3363035
2015-12-31,40.6355523,-73.9780219,3363045
2015-12-29,40.6175008,-73.9608859,3361964
2015-12-27,40.6307566,-74.0001441,3361348
2015-12-27,40.635836,-73.9534278,3361385
2015-12-28,40.6943646,-73.9579956,3362017
2015-12-31,40.6976294,-73.9852826,3363134
2015-12-31,40.7147294,-73.9420676,3363862
