ctlabel,borocode,boroname,ct2020,boroct2020,cdeligibil,ntaname,nta2020,cdta2020,cdtaname,geoid,shape_leng,shape_area,num_crash,num_tree,crash_dens,tree_dens,area_acre
"240","3",Brooklyn,"024000","3024000",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047024000",6240.4593491200002972618676722049713,1827206.3184499999042600393295288085938,72.000000000000000,282.000000000000000,1.716,6.723,41.947
"238","3",Brooklyn,"023800","3023800",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047023800",6244.5567291699999259435571730136871,1828765.8409800000954419374465942382812,93.000000000000000,376.000000000000000,2.215,8.956,41.983
"236","3",Brooklyn,"023600","3023600",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047023600",6242.9810764699996070703491568565369,1828207.7470100000500679016113281250000,117.000000000000000,307.000000000000000,2.788,7.315,41.970
"245","3",Brooklyn,"024500","3024500",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047024500",5582.2227169199995842063799500465393,1795931.7412000000476837158203125000000,195.000000000000000,294.000000000000000,4.730,7.131,41.229
"244","3",Brooklyn,"024400","3024400",,Mapleton-Midwood (West),BK1204,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047024400",6280.4467591800002992385998368263245,1670948.4372400001157075166702270507812,90.000000000000000,211.000000000000000,2.346,5.501,38.360
"243","3",Brooklyn,"024300","3024300",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047024300",5291.7167069300003277021460235118866,1661539.4983099999371916055679321289062,155.000000000000000,233.000000000000000,4.064,6.108,38.144
"242","3",Brooklyn,"024200","3024200",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047024200",6964.5495556799996847985312342643738,2061125.1428199999500066041946411132812,75.000000000000000,244.000000000000000,1.585,5.157,47.317
"249","3",Brooklyn,"024900","3024900",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047024900",5777.6550090800001271418295800685883,1813352.5750500001013278961181640625000,223.000000000000000,321.000000000000000,5.357,7.711,41.629
"248","3",Brooklyn,"024800","3024800",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047024800",6417.4833049299995764158666133880615,1895137.2895100000314414501190185546875,85.000000000000000,120.000000000000000,1.954,2.758,43.506
"247","3",Brooklyn,"024700","3024700",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047024700",7438.6279139999996914411894977092743,1934649.8744699999224394559860229492188,244.000000000000000,209.000000000000000,5.494,4.706,44.413
"246","3",Brooklyn,"024600","3024600",,Mapleton-Midwood (West),BK1204,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047024600",6796.3135778599998957361094653606415,1845582.7249499999452382326126098632812,102.000000000000000,202.000000000000000,2.407,4.768,42.369
"253","3",Brooklyn,"025300","3025300",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047025300",5626.9879290099997888319194316864014,1741979.5360399999190121889114379882812,176.000000000000000,229.000000000000000,4.401,5.726,39.990
"252","3",Brooklyn,"025200","3025200",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047025200",6686.6069844699995883274823427200317,1950979.1618200000375509262084960937500,126.000000000000000,246.000000000000000,2.813,5.493,44.788
"251","3",Brooklyn,"025100","3025100",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047025100",5079.9308650499997384031303226947784,1490422.8959800000302493572235107421875,144.000000000000000,232.000000000000000,4.209,6.781,34.215
"250","3",Brooklyn,"025000","3025000",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047025000",5938.2137450700001863879151642322540,1867361.6849499999079853296279907226562,88.000000000000000,103.000000000000000,2.053,2.403,42.869
"325","3",Brooklyn,"032500","3032500",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047032500",6293.8853914299997995840385556221008,1812069.7694800000172108411788940429688,161.000000000000000,280.000000000000000,3.870,6.731,41.599
"323","3",Brooklyn,"032300","3032300",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047032300",6269.4214953500004412489943206310272,1862961.9473800000268965959548950195312,294.000000000000000,307.000000000000000,6.874,7.178,42.768
"321","3",Brooklyn,"032100","3032100",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047032100",6039.8856374099996173754334449768066,1724842.1611299999058246612548828125000,314.000000000000000,309.000000000000000,7.930,7.804,39.597
"319","3",Brooklyn,"031900","3031900",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047031900",5787.1884254400001736939884722232819,1631610.7090499999467283487319946289062,259.000000000000000,231.000000000000000,6.915,6.167,37.457
"330","3",Brooklyn,"033000","3033000",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047033000",9862.0438713200001075165346264839172,3866465.5491100000217556953430175781250,62.000000000000000,198.000000000000000,0.698,2.231,88.762
"329","3",Brooklyn,"032900","3032900",,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047032900",7138.8527583200002482044510543346405,1683542.5990800000727176666259765625000,206.000000000000000,234.000000000000000,5.330,6.054,38.649
"328","3",Brooklyn,"032800","3032800",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047032800",7628.2090903300004356424324214458466,2507369.0913499998860061168670654296875,85.000000000000000,304.000000000000000,1.477,5.281,57.561
"326","3",Brooklyn,"032600","3032600",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047032600",7873.1966775199998664902523159980774,3542648.8581500002183020114898681640625,205.000000000000000,281.000000000000000,2.521,3.455,81.328
"336","3",Brooklyn,"033600","3033600",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047033600",12602.6002129999997123377397656440735,7312012.1302899997681379318237304687500,27.000000000000000,59.000000000000000,0.161,0.351,167.861
"335","3",Brooklyn,"033500","3033500",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047033500",7422.4375393999998777871951460838318,1944377.1029300000518560409545898437500,133.000000000000000,287.000000000000000,2.980,6.430,44.637
"333","3",Brooklyn,"033300","3033300",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047033300",7463.4800885300001027644611895084381,2005663.0437000000383704900741577148438,97.000000000000000,232.000000000000000,2.107,5.039,46.044
"331","3",Brooklyn,"033100","3033100",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047033100",7551.8574491800000032526440918445587,1533546.8300000000745058059692382812500,168.000000000000000,281.000000000000000,4.772,7.982,35.205
"340","3",Brooklyn,"034000","3034000",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047034000",7165.4979453400001148111186921596527,1419227.5391500000841915607452392578125,48.000000000000000,112.000000000000000,1.473,3.438,32.581
"339","3",Brooklyn,"033900","3033900",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047033900",7419.8037233200002447119913995265961,1945657.8285699998959898948669433593750,117.000000000000000,245.000000000000000,2.619,5.485,44.666
"337.02","3",Brooklyn,"033702","3033702",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047033702",6854.9398053499999150517396628856659,1065103.7744100000709295272827148437500,231.000000000000000,332.000000000000000,9.447,13.578,24.451
"337.01","3",Brooklyn,"033701","3033701",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047033701",6850.2042891900000540772452950477600,1061778.6378099999856203794479370117188,211.000000000000000,301.000000000000000,8.656,12.349,24.375
"345","3",Brooklyn,"034500","3034500",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047034500",5684.4459696499998244689777493476868,1759935.5752699999138712882995605468750,111.000000000000000,254.000000000000000,2.747,6.287,40.403
"343","3",Brooklyn,"034300","3034300",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047034300",5689.1481295599996883538551628589630,1745165.9051600000821053981781005859375,86.000000000000000,165.000000000000000,2.147,4.119,40.063
"342","3",Brooklyn,"034200","3034200",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047034200",7381.4173994200000379350967705249786,2475181.5915000000968575477600097656250,87.000000000000000,243.000000000000000,1.531,4.277,56.822
"341","3",Brooklyn,"034100","3034100",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047034100",5030.7767687400000795605592429637909,1504308.0627900001127272844314575195312,69.000000000000000,227.000000000000000,1.998,6.573,34.534
"349.02","3",Brooklyn,"034902","3034902",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047034902",4143.9499737799997092224657535552979,1003908.5278300000354647636413574218750,232.000000000000000,170.000000000000000,10.066,7.376,23.047
"349.01","3",Brooklyn,"034901","3034901",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047034901",3494.8288009100001545448321849107742,752964.1237490000203251838684082031250,193.000000000000000,99.000000000000000,11.165,5.727,17.286
"348","3",Brooklyn,"034800","3034800",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047034800",18476.5473050000000512227416038513184,6985056.3813599999994039535522460937500,307.000000000000000,288.000000000000000,1.915,1.796,160.355
"347","3",Brooklyn,"034700","3034700",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047034700",5032.9673809599999003694392740726471,1505056.7196200001053512096405029296875,108.000000000000000,214.000000000000000,3.126,6.194,34.551
"352","3",Brooklyn,"035200","3035200",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047035200",32558.2806703999995079357177019119263,10657472.7579999994486570358276367187500,139.000000000000000,203.000000000000000,0.568,0.830,244.662
"351.02","3",Brooklyn,"035102","3035102",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047035102",4146.9484282599996731732971966266632,1002516.3934199999785050749778747558594,242.000000000000000,173.000000000000000,10.515,7.517,23.015
"351.01","3",Brooklyn,"035101","3035101",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047035101",3494.2799370399998224456794559955597,752633.3383059998741373419761657714844,213.000000000000000,105.000000000000000,12.328,6.077,17.278
"350","3",Brooklyn,"035000","3035000",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047035000",5887.3393624999998792191036045551300,2123245.4449700000695884227752685546875,130.000000000000000,30.000000000000000,2.667,0.615,48.743
"356.01","3",Brooklyn,"035601","3035601",,Coney Island-Sea Gate,BK1302,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),"36047035601",3524.7985012399999504850711673498154,719519.8918579999590292572975158691406,90.000000000000000,91.000000000000000,5.449,5.509,16.518
"355","3",Brooklyn,"035500","3035500",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047035500",5844.4417304099997636512853205204010,1485518.3810199999716132879257202148438,203.000000000000000,197.000000000000000,5.953,5.777,34.103
"353.02","3",Brooklyn,"035302","3035302",,Crown Heights (South),BK0901,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047035302",4144.8360404900004141381941735744476,1003190.9123400000389665365219116210938,141.000000000000000,178.000000000000000,6.122,7.729,23.030
"353.01","3",Brooklyn,"035301","3035301",,Crown Heights (North),BK0802,BK08,BK08 Crown Heights (North) (CD 8 Approximation),"36047035301",3494.6525606899999729648698121309280,752264.8879489999962970614433288574219,146.000000000000000,129.000000000000000,8.454,7.470,17.270
"287","3",Brooklyn,"028700","3028700",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047028700",5919.8846912999997584847733378410339,1601115.3873900000471621751785278320312,155.000000000000000,196.000000000000000,4.217,5.332,36.757
"286","3",Brooklyn,"028600","3028600",,Bath Beach,BK1102,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028600",6444.4349625799995919805951416492462,1904932.7234799999278038740158081054688,56.000000000000000,149.000000000000000,1.281,3.407,43.731
"285.02","3",Brooklyn,"028502","3028502",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047028502",4775.4216496500002904213033616542816,1290359.4755700000096112489700317382812,85.000000000000000,12.000000000000000,2.869,0.405,29.623
"285.01","3",Brooklyn,"028501","3028501",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047028501",4167.6895270599998184479773044586182,895739.6493179999524727463722229003906,139.000000000000000,56.000000000000000,6.760,2.723,20.563
"292","3",Brooklyn,"029200","3029200",,Bath Beach,BK1102,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047029200",7319.5547867900004348484799265861511,2215329.9545100000686943531036376953125,133.000000000000000,173.000000000000000,2.615,3.402,50.857
"291","3",Brooklyn,"029100","3029100",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029100",5439.9390961700000843848101794719696,1772059.5689699999056756496429443359375,85.000000000000000,251.000000000000000,2.089,6.170,40.681
"290","3",Brooklyn,"029000","3029000",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047029000",5799.0414894599998660851269960403442,1665073.3795400001108646392822265625000,150.000000000000000,119.000000000000000,3.924,3.113,38.225
"288","3",Brooklyn,"028800","3028800",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028800",5777.6878781300001719500869512557983,1644934.1415800000540912151336669921875,111.000000000000000,219.000000000000000,2.939,5.799,37.762
"296","3",Brooklyn,"029600","3029600",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047029600",7396.9715923100002328283153474330902,2300496.7877099998295307159423828125000,202.000000000000000,191.000000000000000,3.825,3.617,52.812
"295","3",Brooklyn,"029500","3029500",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029500",5437.7988732200001322780735790729523,1771507.8294400000013411045074462890625,90.000000000000000,355.000000000000000,2.213,8.729,40.668
"294","3",Brooklyn,"029400","3029400",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047029400",6602.8291797600013524061068892478943,2032099.5437400001101195812225341796875,103.000000000000000,65.000000000000000,2.208,1.393,46.651
"293","3",Brooklyn,"029300","3029300",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047029300",5437.7855792000000292318873107433319,1770060.6925800000317394733428955078125,81.000000000000000,327.000000000000000,1.993,8.047,40.635
"300","3",Brooklyn,"030000","3030000",,Gravesend (West),BK1103,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047030000",7243.1317209799999545793980360031128,2099451.0106799998320639133453369140625,118.000000000000000,211.000000000000000,2.448,4.378,48.197
